key,LT,bg,bih,de,dk,en,es,fi,fil,fr,id,it,ja,ko,mne,nl,pl,pt,ro,ru,srb,tr,uk,vi,zh
upgrade_optimization_encompressor,,,,,,Optimized Encompression,,,,,,,エンコンプレス最適化,,,,,Comprimoração Otimizada,,,,,,,
points,,,,,,Points,Puntos,,,Points,Poin,,ポイント,포인트,,,Punkty,Pontos,,,,,,,
upgrade_driver_desc,,,,,,Boosts components' performance,Aumenta el rendimiento de los componentes,,,,,,設備の性能をブーストします,,,,,Impulsiona a performance de componentes,,,,,,,
rest_time_desc,,,,,,Increases time speed by 5x. Gains 1 second every 72 seconds offline,Aumenta la velocidad del tiempo 5 veces. Gana 1 segundo cada 72 segundos sin conexión.,,,Augmente la vitesse du temps par 5. Gagne 1 seconde toutes les 72 secondes hors ligne,"Naikkan kecepatan waktu sebesar 5x. Setiap offline sebanyak 72 detik, kamu akan memperoleh 1 detik.",,速度を5倍にします。オフライン時間72秒ごとに1秒獲得します,시간을 5배 빠르게 합니다. 오프라인 72초당 1초를 얻습니다.,,,Zwiększa prędkość czasu 5cio-krotnie.  Zyskaj 1 sekundę co 72 sekund offline,Aumenta a velocidade do tempo em 5x. Ganhe 1 segundo a cada 72 segundos offline,,,,,,,加速至5×速度（每72秒離線可獲得1秒加速時間）
resource_hashmap_bool_desc,,,,,,HashMap variable produced from an Array[String] and an Array[bool].,,,,HashMap générée à partir d'un Array[String] et d'un Array[bool].,Variabel HashMap yang diproduksi dari Array[String] dan Array[bool].,,Array[String]とArray[bool]のペアからなるHashmap型の変数です,배열[String]과 배열[bool]로 생산되는 해쉬맵 변수,,,Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[bool],Variável HashMap produzida usando um Array[String] e um Array[bool].,,,,,,,
window_ide_desc,,,,,,Generates all primitive variable types with user controlled ratios,,,,Génère tous les types de variables primitives avec des ratios contrôlés par l’utilisateur,,,ユーザーが指定した割合で全ての基本型変数を生産します,,,,,Produz todos tipos de variáveis primitivas com taxas controladas pelo usuário,,,,,,,
perk_thread_manager_desc,,,,,,"Unlocks the Thread Manager, allowing Clock Speed to be split in different ratios","Desbloquea el Administrador de subprocesos, lo que permite dividir la velocidad del reloj en diferentes proporciones",,,,,,クロック速度をユーザー指定の比率で分割するスレッドマネージャーをアンロックします,,,,,"Desbloqueia o Gerenciador de Thread, permitindo que Velocidade de Clock seja divivido em taxas diferenciadas",,,,,,,
stats_refined,,,,,,Files Refined,Archivos refinados,,,Fichiers rafinés,File Dimurnikan,,リファインしたファイル,,,,,Arquivos Refinados,,,,,,,
window_code_driver,,,,,,Code Driver,,,,Code Driver,,,ドライバーコーディング,,,,,Programar Driver,,,,,,,
boost_clock_desc,,,,,,Doubles Clock Speed for 10 minutes,Duplica la velocidad del reloj durante 10 minutos,,,,,,クロック速度を10分間2倍にします,,,,,Dobra a Velocidade de Clock por 10 minutos,,,,,,,
achievement_hacking,,,,,,Hack Ascension,,,,,Bjirka,,ハッキング入門,,,,,Ascenção Hack,,,,,,,
research_verifier,,,,,,Checksum Validation,,,,,Validasi Checksum,,チェックサム検証器,,,,,Validação de Checksum,,,,,,,
achievement_variety_downloader,,,,,,Variety Downloader,Descargador de variedad,,,Variety Downloader,Pengunduh Beragam,,何でも屋,,,,,Downloader de Variedade,,,,,,,
resource_bitflag,,,,,,BitFlag,BitFlag,,,BitFlag,BitFlag,,BitFlag,BitFlag,,,BitFlag,BitFlag,,,,,,,BitFlag
upgrade_hack_spoil_desc,,,,,,Increases breach rewards by 100%,,,,,,,データ侵入の報酬を100%増やします,,,,,Aumenta a recompensa de brechas em 100%,,,,,,,
upgrade_optimization_upload_size_desc,,,,,,Reduces file size of uploads by half,Reduce a la mitad el tamaño de los archivos subidos,,,,,,アップロードファイルのサイズを半分にします,,,,,Reduz o tamanho de uploads pela metade,,,,,,,
window_code_array_desc,,,,,,Generates arrays from variables,,,,Génère des arrays à partir des variables,,,変数を使用してArrayを生産します,,,,,Gera arrays usando variáveis,,,,,,,
invalid_project,,,,,,Invalid Project,Proyecto inválido,,,Projet non valide,Proyek Salah,,無効なプロジェクトです,유효하지 않은 프로젝트,,,Niepoprawny Projekt,Projeto Inválido,,,,,,,
achievement_redownloaded_desc,,,,,,Fix a corrupted file,Arregla un archivo corrupto,,,,Perbaiki file yang rusak,,破損ファイルを修復する,,,,,Arrume um arquivo corrompido,,,,,,,
resource_boost_hack,,,,,,Hack Boost,Impulso de hackeo,,,Hack Boost,Pelaju Retas,,ハックブースト,해킹 부스트,,,Wzmocnienie Hakowania,Impulso de Hack,,,,,,,
